Name,Size,Type,Align.,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,WRI,Senses,Languages,CR,Additional,Font,Additional Info,Author
Animated Armor,Medium,Construct,U,18,33,25,14,11,13,1,3,1,None,None,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonimmu",Blindsight 60,None,1,"Antimagic, False",Monster Manual,,Wizards of the Coast
Assassin,Medium,Humanoid,NOT GOOD,15,78,30,11,16,14,13,11,10,"DEX, INT","Acrobatics, Deception, Perception, Stealth",Poisonres,Normal,"Thieves' Cant, Any",8,"Assassinate, Evasion, Sneak Attack",Monster Manual,,Wizards of the Coast
Awakened Shrub,Small,Plant,U,9,10,20,3,8,11,10,10,6,None,None,"Fireweak, piercingres",Normal,Creator,0,False Appearance,Monster Manual,,Wizards of the Coast
Awakened Tree,Huge,Plant,U,13,59,20,19,6,15,10,10,7,None,None,"Fireweak, bludgeoningres, piercingres",Normal,Creator,2,False Appearance,Monster Manual,,Wizards of the Coast
Axe Beak,Large,Beast,U,11,19,50,14,12,12,2,10,5,None,None,None,Normal,None,0.25,None,Monster Manual,,Wizards of the Coast
Azer,Medium,Elemental,LN,17,39,30,17,12,15,12,13,10,CON,None,"Fireimmu, poisonimmu, poisonimmu",Normal,Ignan,2,"Heated Body, Heated Weapons, Illumination",Monster Manual,,Wizards of the Coast
Baboon,Small,Beast,U,12,3,"30, climb 30",8,14,11,4,12,6,None,None,None,Normal,None,0,Pack Tactics,Monster Manual,,Wizards of the Coast
Badger,Tiny,Beast,U,10,3,"20, burrow 5",4,11,12,2,12,5,None,None,None,Darkvision 30,None,0,Keen Smell,Monster Manual,,Wizards of the Coast
Balor,Huge,Fiend (Demon),CE,19,262,"40, 80 fly",26,15,22,20,16,22,"STR, CON, WIS, CHA",None,"coldres, lightningres, nonmagicalres, fireimmu, poisonimmu, poisonedimmu",Truesight 120,"Abyssal, telepathy 120",19,"Death Throes, Fire Aura, Magic Resistance, Magic Weapons",Monster Manual,,Wizards of the Coast
Bandit,Medium,Humanoid,NOT LAWFUL,12,11,30,11,12,12,10,10,10,None,None,None,Normal,Any,0.125,None,Monster Manual,,Wizards of the Coast
Bandit Captain,Medium,Humanoid,NOT LAWFUL,15,65,30,15,16,14,14,11,14,"STR, DEX, WIS","Athletics, Deception",None,Normal,Any,2,None,Monster Manual,,Wizards of the Coast
Barbed Devil,Medium,Fiend (Devil),LE,15,110,30,16,17,18,12,14,14,"STR, CON, WIS, CHA","Deception, Insight, Perception","Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",5,"Barbed Hide, Devil's Sight, Magic Resistance",Monster Manual,,Wizards of the Coast
Basilisk,Medium,Monstrosity,U,15,52,30,16,8,15,2,8,7,"STR, CON, WIS, CHA","Deception, Insight, Perception","Coldres, nonmagicalres, nonsilvered immu, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",3,"Barbed Hide, Devil's Sight, Magic Resistance",Monster Manual,,Wizards of the Coast
Bat,Tiny,Beast,U,12,1,"5, fly 30",2,15,8,2,12,4,None,None,None,Blindsight 60,None,0,"Echolocation, Keen Hearing",Monster Manual,,Wizards of the Coast
Bearded Devil,Medium,Fiend (Devil),LE,13,52,30,16,15,15,9,11,11,"STR, CON, WIS",None,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",3,"Devil's Sight, Magic Resistance, Steadfast",Monster Manual,,Wizards of the Coast
Behir,Huge,Monstrosity,NE,17,168,"50, climb 40",23,16,18,7,16,12,None,"Perception, Stealth",Lightningimmu,Darkvision 90,Draconic,11,None,Monster Manual,,Wizards of the Coast
Berserker,Medium,Humanoid,ANY CHAOTIC,13,67,30,16,12,17,9,11,9,None,None,None,Normal,Any,2,Reckless,Monster Manual,,Wizards of the Coast
Black Bear,Medium,Beast,U,11,19,"40, climb 30",15,10,14,2,12,7,None,Perception,None,Normal,None,0.5,Keen Smell,Monster Manual,,Wizards of the Coast
Black Dragon Wyrmling,Medium,Dragon,CE,17,33,"30, fly 60, 30 swim",15,14,13,10,11,13,"DEX, CON, WIS, CHA","Perception, Stealth",Acidimmu,"Blindsight 30, darkvision 120","Common, Draconic",2,Amphibious,Monster Manual,,Wizards of the Coast
Black Pudding,Large,Ooze,U,7,85,"20, climb 20",16,5,16,1,6,1,None,None,"Acidimmu, coldimmu, lightningimmu, slashingimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, proneimmu",Blindsight 60,None,4,"Amorphous, Corrosive Form, Spider Climb",Monster Manual,,Wizards of the Coast
Blink Dog,Medium,Fey,LG,13,22,40,12,17,12,10,13,11,None,"Perception, Stealth",None,Normal,"Own, Sylvan",0.25,"Keen Hearing, Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
Blood Hawk,Small,Beast,U,12,7,"10, fly 60",6,14,10,3,14,5,None,Perception,None,Normal,None,0.125,"Keen Sight, Pack Tactics",Monster Manual,,Wizards of the Coast
Blue Dragon Wyrmling,Medium,Dragon,LE,17,52,"30, 15 burrow, fly 60",17,10,15,12,11,15,"DEX, CON, WIS, CHA","Perception, Stealth",Lightningimmu,"Blindsight 30, darkvision 120","Common, Draconic",3,None,Monster Manual,,Wizards of the Coast
Boar,Medium,Beast,U,11,11,40,13,11,12,2,9,5,None,None,None,Normal,None,0.25,"Charge, Relentless",Monster Manual,,Wizards of the Coast
Bone Devil,Large,Fiend (Devil),LE,19,142,"40, 40 fly",18,16,18,13,14,16,"INT, WIS, CHA","Deception, Insight","Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",9,"Devil's Sight, Magic Resistance",Monster Manual,,Wizards of the Coast
Brass Dragon Wyrmling,Medium,Dragon,CG,16,16,"30, burrow 15, fly 60",15,10,13,10,11,13,"DEX, CON, WIS, CHA","Perception, Stealth",Fireimmu,"Blindsight 10, Darkvision 60",Draconic,1,None,Monster Manual,,Wizards of the Coast
Bronze Dragon Wyrmling,Medium,Dragon,LG,17,32,"30, fly 60, swim 30",17,10,15,12,11,15,"DEX, CON, WIS, CHA","Perception, Stealth",Lightningimmu,"Blindsight 10, darkvision 60",Draconic,2,Amphibious,Monster Manual,,Wizards of the Coast
Brown Bear,Large,Beast,U,11,34,"40, climb 30",19,10,16,2,13,7,None,Perception,None,Normal,None,1,Keen Smell,Monster Manual,,Wizards of the Coast
Bugbear,Medium,Humanoid,CE,16,27,30,15,14,13,8,11,9,None,"Stealth, Survival",None,Darkvision 60,"Common, Goblin",1,"Brute, Surprise Attack",Monster Manual,,Wizards of the Coast
Bulette,Large,Monstrosity,U,17,94,"40, 40 burrow",19,11,21,2,10,5,None,Perception,None,"Darkvision 60, tremorsense 60",None,5,Standing Leap,Monster Manual,,Wizards of the Coast
Camel,Large,Beast,U,9,15,50,16,8,14,2,8,5,None,None,None,Normal,None,0.125,None,Monster Manual,,Wizards of the Coast
Cat,Tiny,Beast,U,12,2,"40, climb 30",3,15,10,3,12,7,None,"Perception, Stealth",None,Normal,None,0,Keen Smell,Monster Manual,,Wizards of the Coast
Centaur,Large,Monstrosity,NG,12,45,50,18,14,14,9,13,11,None,"Athletics, Perception, Survival",None,Normal,"Elvish, Sylvan",2,Charge,Monster Manual,,Wizards of the Coast
Chain Devil,Medium,Fiend (Devil),LE,16,85,30,18,15,18,11,12,14,"CON, WIS, CHA",None,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",8,"Devil's Sight, Magic Resistance",Monster Manual,,Wizards of the Coast
Chimera,Large,Monstrosity,CE,14,114,"30, fly 60",19,11,19,3,14,10,None,Perception,None,Darkvision 60,Draconic,6,None,Monster Manual,,Wizards of the Coast
Chuul,Large,Aberration,CE,16,93,"30, 30 swim",19,10,16,5,11,5,None,Perception,"Poisonimmu, poisonedimmu",Darkvision 60,Deep Speech,4,"Amphibious, Sense Magic",Monster Manual,,Wizards of the Coast
Clay Golem,Large,Construct,U,14,133,20,20,9,18,3,8,1,None,None,"Acidimmu, poisonimmu, psychicimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Creator,9,"Acid Absorption, Berserk, Immutable Form, Magic Resistance, Magic Weapons",Monster Manual,,Wizards of the Coast
Cloaker,Large,Aberration,CN,14,78,"10, fly 40",17,15,12,13,12,14,None,Stealth,None,Darkvision 60,"Deep Speech, Undercommon",8,"Damage Transfer, False Appearance, Light Sensitivity",Monster Manual,,Wizards of the Coast
Cloud Giant,Huge,Giant,N,14,200,40,27,10,22,12,16,16,"CON, WIS, CHA","Insight, Perception",None,Normal,"Common, Giant",9,"Keen Smell, Innate Spellcasting",Monster Manual,,Wizards of the Coast
Cockatrice,Small,Monstrosity,U,11,27,"20, fly 40",6,12,12,2,13,5,None,None,None,Darkvision 60,None,0.5,None,Monster Manual,,Wizards of the Coast
Commoner,Medium,Humanoid,ANY,10,4,30,10,10,10,10,10,10,None,None,None,Normal,Any,0,None,Monster Manual,,Wizards of the Coast
Constrictor Snake,large,Beast,U,12,13,"30, swim 30",15,14,12,1,10,3,None,None,None,Blindsight 10,None,0.25,None,Monster Manual,,Wizards of the Coast
Copper Dragon Wyrmling,Medium,Dragon,CG,16,22,"30, climb 30, fly 60",15,12,13,14,11,13,"DEX, CON, WIS, CHA","Perception, Stealth",Acidimmu,"Blindsight 10, darkvision 60",Draconic,1,None,Monster Manual,,Wizards of the Coast
Couatl,Medium,Celestial,LG,19,97,"30, 90 fly",16,20,17,18,20,18,"CON, WIS, CHA",None,"Radiantres, psychicimmu, nonmagicalimmu",Truesight 120,"All, telepathy 120",4,"Innate Spellcasting, Magic Weapons, Shielded Mind",Monster Manual,,Wizards of the Coast
Crab,Tiny,Beast,U,11,2,"20, swim 20",2,11,10,1,8,2,None,Stealth,None,Blindsight 30,None,0,Amphibious,Monster Manual,,Wizards of the Coast
Crocodile,Large,Beast,U,12,19,"20, swim 30",15,10,13,2,10,5,None,Stealth,None,Normal,None,0.5,Hold Breath,Monster Manual,,Wizards of the Coast
Cult Fanatic,Medium,Humanoid,NOT GOOD,13,33,30,11,14,12,10,13,14,None,"Deception, Persuasion, Religion",None,Normal,Any,2,"Dark Devotion, Normal Spellcasting",Monster Manual,,Wizards of the Coast
Cultist,Medium,Humanoid,NOT GOOD,12,9,30,11,12,10,10,11,10,None,"Deception, Religion",None,Normal,Any,0.125,Dark Devotion,Monster Manual,,Wizards of the Coast
Darkmantle,Small,Monstrosity,U,11,22,"10, fly 30",16,12,13,2,10,5,None,Stealth,None,Blindsight 60,None,0.5,"Echolocation,  False Appearance",Monster Manual,,Wizards of the Coast
Death Dog,Medium,Monstrosity,NE,12,39,40,15,14,14,3,13,6,None,"Perception, Stealth",None,Darkvision 120,None,1,Two-Headed,Monster Manual,,Wizards of the Coast
Deer,Medium,Beast,U,13,4,50,11,16,11,2,14,5,None,None,None,Normal,None,0,None,Monster Manual,,Wizards of the Coast
Deva,Medium,Celestial,LG,17,136,"30, 90 fly",18,18,18,17,20,20,"WIS, CHA","Insight, Perception","Radiantres, nonmagicalres, charmedimmu, exhaustionimmu, frightenedimmu",Darkvision 120,"All, Telepathy 120",10,"Angelic Weapons, Innate Spellcasting, Magic Resistance",Monster Manual,,Wizards of the Coast
Dire Wolf,Large,Beast,U,14,37,50,17,15,15,3,12,7,None,"Perception, Stealth",None,Normal,None,1,"Keen Hearing, Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
Djinni,Large,Elemental,CG,17,161,"30, fly 90",21,15,22,15,16,20,"DEX, WIS, CHA",None,"Lightningimmu, thunderimmu",Darkvision 120,Auran,11,"Elemental Demise, Innate Spellcasting",Monster Manual,,Wizards of the Coast
Doppelganger,Medium,Monstrosity,N,14,52,30,11,18,14,11,12,14,None,"Deception, Insight",Charmedimmu,Darkvision 60,Common,3,"Shapechanger, Ambusher, Surprise Attack",Monster Manual,,Wizards of the Coast
Draft Horse,Large,Beast,U,10,19,40,18,10,12,2,11,7,None,None,None,Normal,None,0.25,None,Monster Manual,,Wizards of the Coast
Dragon Turtle,Gargantuan,Dragon,N,20,341,"20, swim 40",25,10,20,10,12,12,"DEX, CON, WIS",None,Fireres,Darkvision 120,"Aquan, Draconic",17,Amphibious,Monster Manual,,Wizards of the Coast
Dretch,small,Fiend (Demon),CE,11,18,20,11,11,12,5,8,3,None,None,"Coldres, fireres, lightningres, poisonimmu, poisonedimmu",Darkvision 60,"Abyssal, telepathy 60",0.25,None,Monster Manual,,Wizards of the Coast
Drider,Large,Monstrosity,CE,19,123,"30, climb 30",16,16,18,13,14,12,None,"Perception, Stealth",None,Darkvision 120,"Elvish, Undercommon",6,"Fey Ancestry, Innate Spellcasting, Spider Climb, Sunlight Sensitivity, Web Walker",Monster Manual,,Wizards of the Coast
Drow Elf,Medium,Humanoid,NE,15,13,30,10,14,10,11,11,12,None,"Perception, Stealth",None,Darkvision 120,"Elvish, Undercommon",0.25,"Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity",Monster Manual,,Wizards of the Coast
Druid,Medium,Humanoid,ANY,11,27,30,10,12,13,12,15,11,None,"Medicine, Nature, Perception",None,Normal,"Druidic, Any",2,Normal Spellcasting,Monster Manual,,Wizards of the Coast
Dryad,Medium,Fey,N,11,22,30,1,12,11,14,15,18,None,"Perception, Stealth",None,Darkvision 60,"Elvish, Sylvan",1,"Innate Spellcasting, Magic Resistance, Speak with Beasts, Speak with Plants, Tree Stride",Monster Manual,,Wizards of the Coast
Duergar,Medium,Humanoid,LE,16,26,25,14,11,14,11,10,9,None,None,Poisonres,Darkvision 120,"Dwarvish, Undercommon",1,"Duergar Resilience, Sunlight Sensitivity",Monster Manual,,Wizards of the Coast
Dust Mephit,Small,Elemental,NE,12,17,"30, fly 30",5,14,10,9,11,10,None,"Perception, Stealth","Fireweak, poisonimmu, poisonedimmu",Darkvision 60,"Auran, Terran",0.5,"Death Burst, Innate Spellcasting",Monster Manual,,Wizards of the Coast
Eagle,Small,Beast,U,12,3,"10, fly 60",6,15,10,2,14,7,None,Perception,None,Normal,None,0,Keen Sight,Monster Manual,,Wizards of the Coast
Earth Elemental,Large,Elemental,N,17,126,"30, burrow 30",20,8,20,5,10,5,None,None,"Thunderweak, nonmagicalres, poisonimmu, exhaustionimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, unconsciousimmu","Darkvision 60, tremorsense 60",Terran,5,"Earth Glide, Siege Monster",Monster Manual,,Wizards of the Coast
Efreeti,Large,Elemental,LE,17,200,"40, fly 60",22,12,24,16,15,16,"INT, WIS, CHA",None,Fireimmu,Darkvision 120,Ignan,11,"Elemental Demise, Innate Spellcasting",Monster Manual,,Wizards of the Coast
Elephant,Huge,Beast,U,12,76,40,22,9,17,3,11,6,None,None,None,Normal,None,4,Trampling Charge,Monster Manual,,Wizards of the Coast
Elk,Large,Beast,U,10,13,50,16,10,12,2,10,6,None,None,None,Normal,None,0.25,Charge,Monster Manual,,Wizards of the Coast
Erinyes,Medium,Fiend (Devil),LE,18,153,"30, fly 60",18,16,18,14,14,18,"DEX, CON, WIS, CHA",None,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Truesight 120,"Infernal, telepathy 120",12,"Hellish Weapons, Magic Resistance",Monster Manual,,Wizards of the Coast
Ettercap,Medium,Monstrosity,NE,13,44,"30, climb 30",14,15,13,7,12,8,None,"Perception, Stealth, Survival",None,Darkvision 60,None,2,"Spider Climb, Web Sense, Web Walker",Monster Manual,,Wizards of the Coast
Ettin,large,Giant,CE,12,85,40',21,8,17,6,10,8,None,Perception,None,Darkvision 60,"Giant, Orc",4,"Two Heads, Wakeful",Monster Manual,,Wizards of the Coast
Fire Elemental,large,Elemental,N,13,102,50,10,17,16,6,10,7,None,None,"Nonmagicalres, fireimmu, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, unconsciousimmu",Darkvision 60,Ignan,5,"Fire Form, Illumination, Water Susceptibility",Monster Manual,,Wizards of the Coast
Fire Giant,Huge,Giant,LE,18,162,30,25,9,23,10,14,13,"DEX, CON, CHA","Athletics, Perception",Fireimmu,Normal,Giant,9,None,Monster Manual,,Wizards of the Coast
Flesh Golem,Medium,Construct,N,9,93,30,19,9,18,6,10,5,None,None,"Lightningimmu, poisonimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Creator,5,"Berserk, Aversion of Fire, Immutable Form, Lightning Absorption, Magic Resistance, Magic Weapons",Monster Manual,,Wizards of the Coast
Flying Snake,Tiny,Beast,U,14,5,"30, fly 60, swim 30",4,18,11,2,12,5,None,None,None,Blindsight 10,None,0.125,Flyby,Monster Manual,,Wizards of the Coast
Flying Sword,Small,Construct,U,17,17,50 fly,12,15,11,1,5,1,DEX,None,"Coldres, fireres, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu paralyzedimmu, petrifiedimmu, poisonimmu",Blindsight 60,None,0.25,"Antimagic, False",Monster Manual,,Wizards of the Coast
Frog,Tiny,Beast,U,11,1,"20, swim 20",1,13,8,1,8,3,None,"Perception, Stealth",None,Darkvision 30,None,0,"Amphibious, Standing Leap",Monster Manual,,Wizards of the Coast
Frost Giant,Huge,Giant,NE,15,138,40,23,9,21,9,10,12,"CON, WIS, CHA","Athletics, Perception",Coldimmu,Normal,Giant,8,None,Monster Manual,,Wizards of the Coast
Gargoyle,Medium,Elemental,CE,15,52,"30, fly 60",15,11,16,6,11,7,None,None,"Nonadamantineres, poisonimmu, exhaustionimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Terran,2,False Appearance,Monster Manual,,Wizards of the Coast
Gelatinous Cube,Large,Ooze,U,6,84,15,14,3,20,1,6,1,None,None,"Blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, proneimmu",Blindsight 60,None,2,"Ooze Cube, Transparent",Monster Manual,,Wizards of the Coast
Ghast,Medium,Undead,CE,13,36,30,16,17,10,11,10,8,None,None,"Necroticres, poisonimmu, charmedimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Common,2,"Stench, Turning Defiance",Monster Manual,,Wizards of the Coast
Ghost,Medium,Undead,ANY,11,45,fly 40,7,13,10,10,12,17,None,None,"Acidres, fireres, lightningres, thunderres, nonmagicalres, coldimmu, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Darkvision 60,Any,4,"Ethereal Sight, Incorporeal Movement",Monster Manual,,Wizards of the Coast
Ghoul,Medium,Undead,CE,12,22,30,13,15,10,7,10,6,None,None,"Poisonimmu, charmedimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Common,1,None,Monster Manual,,Wizards of the Coast
Giant Ape,Huge,Beast,U,12,157,"40, climb 40",23,14,18,7,12,7,None,"Athletics, Perception",None,Normal,None,7,None,Monster Manual,,Wizards of the Coast
Giant Badger,Medium,Beast,U,10,13,"30, burrow 10",13,10,15,2,12,5,None,None,None,Darkvision 30,None,0.25,Keen Smell,Monster Manual,,Wizards of the Coast
